packet,display_order,sample_id,caption_id,image_id,official_split,veracity,caption,relation_label,evidence_channel,annotator_confidence,notes
pilot_seed42,14,128,1562096,1562096,semantics_clip_text_text,pristine,Steve Jobs ran Apple and Pixar,neutral,n/a,high,"The photo shows Steve Jobs, but the claim that he ran Apple and Pixar is a biographical fact that cannot be verified from the image alone."
pilot_seed42,15,124,884368,884368,person_sbert_text_text,pristine,Adam Lallana prepares to kick off with Philippe Coutinho,entailment,n/a,high,The image shows Liverpool number 20 (Lallana) standing over the ball at kickoff with Coutinho beside him.
pilot_seed42,16,32,1537169,1599091,scene_resnet_place,falsified,Following protests Essar lost its coal mining bid in central India,contradiction,visible_conflict,medium,"The sign in the image reads RSA where the claim names the company Essar; a mismatch in readable text counts as a visible conflict, so the relation label is contradiction. Channel: the readable RSA logo directly conflicts with the Essar claim."
pilot_seed42,17,173,57250,57250,semantics_clip_text_text,pristine,Texas Gov Rick Perry eats a hamburger containing the beef product known as pink slime or lean finely textured beef after a news conference in South Sioux City Neb,entailment,n/a,high,"Rick Perry, in a suit, is visibly biting into a hamburger, matching the claim."
pilot_seed42,18,9,295049,1652548,semantics_clip_text_text,falsified,Amazon s Kindle Paperwhite is among the best Mother s Day gadget deals you ll find,contradiction,visible_conflict,medium,"The device shown is a DATAWIND-branded Android tablet with a colour app grid, visibly not a Kindle Paperwhite e-reader. Channel: the Datawind Android tablet is visibly not a Kindle Paperwhite."
pilot_seed42,19,168,304063,304063,person_sbert_text_text,pristine,President Obama participates in a panel discussion during a National Rx Drug Abuse Summit in Atlanta on March 29 2016,neutral,n/a,medium,"Obama sits gesturing at a discussion event with flags, consistent with a panel discussion, but the venue cannot be verified. On the stricter review pass, the named summit, city, and date are unverifiable; this is a generic panel scene."
pilot_seed42,20,107,1628297,1628297,scene_resnet_place,pristine,This original design of the London Velopark does look like a Pringle Other potato snacks are available,entailment,n/a,medium,"The image is an architectural rendering of a velodrome with a saddle-shaped, Pringle-like roof, which supports the claim."
pilot_seed42,21,81,100169,112010,semantics_clip_text_text,falsified,Trump on Cruz s convention speech That s dishonorable,neutral,event_provenance,high,"The image is a debate-arena shot of moderators and the crowd; Trump is not in the frame, and the quoted remark cannot be verified from the image alone. Channel: the photo is from a Fox primary debate (the original event), a different event from the comment about Cruz's convention speech."
pilot_seed42,22,122,201945,201945,semantics_clip_text_image,pristine,Rick Santorum won Iowa in 2012,neutral,n/a,high,The image is a close-up of Rick Santorum; the 2012 Iowa result is external knowledge and not visible in the image.
pilot_seed42,23,87,1086703,851029,semantics_clip_text_text,falsified,Mark Cavendish celebrates after crossing the line first on the fifth stage of the Tour de France,contradiction,visible_conflict,high,"The podium backdrop clearly reads PARIS NICE, with LCL branding, not the Tour de France, and the rider appears to be a Sky rider, not Cavendish. Channel: the readable PARIS NICE podium branding conflicts with the Tour de France claim (the original is Thomas at Paris-Nice)."
pilot_seed42,24,12,462570,1574581,semantics_clip_text_text,falsified,Pope Francis is greeted by the head of Armenia s Orthodox Church Karekin II during an ArmenianRite mass at the Vatican on 12 April,contradiction,visible_conflict,high,"The image shows Vladimir Putin beside a rabbi lighting candles, visibly not Pope Francis or an Armenian-rite mass. Channel: no pope is visible, and Putin with a rabbi (originally a Moscow ceremony) conflicts with the claim of a papal mass."
pilot_seed42,25,139,667122,667122,semantics_clip_text_image,pristine,Liverpool s latest signing Joe Gomez made 16 starts for Charlton last season having made his debut soon after his 17th birthday,neutral,n/a,medium,"A young player wears a red number 3 kit consistent with Charlton, but the count of starts and the other biographical content cannot be verified from the image."
pilot_seed42,26,97,1542413,445537,semantics_clip_text_text,falsified,Mandela said he felt like a young boy of 15 on hearing South Africa had won its World Cup bid,neutral,external_knowledge,medium,"The image shows a man in an Arsenal training jacket. Ruling him out as Mandela requires knowing what Mandela looked like, which is not admissible grounds for a contradiction, and the quote cannot be checked. Channel: the pictured man is Wenger (per the original caption), and detecting the swap needs knowledge of the person's appearance."
pilot_seed42,27,195,807031,807031,semantics_clip_text_image,pristine,Shout out to Andy Murray who cruised into the third round with a commanding 61 61 64 victory over a disappointing Robin Haase,neutral,n/a,medium,"Murray is screaming on a grass court, which could be either celebration or frustration; the match result is not visible."
pilot_seed42,28,103,481104,481104,semantics_clip_text_text,pristine,Harry Lloyd as Viserys Targaryen in Game of Thrones,neutral,n/a,medium,"The image shows a single actor in a distinctive costume. Identifying the role or show amounts to recognizing the work, which is not admissible; even taking the actor's identity as claimed, the pool of photos of Lloyd in costume roles still varies. Reviewed under the final ruleset."
pilot_seed42,29,121,343804,343804,person_sbert_text_text,pristine,Republican presidential candidate Donald Trump speaks in Boynton Beach Fla Monday Oct 24 2016,entailment,n/a,medium,"The image shows Trump speaking at a rally before a readable TRUMP/PENCE backdrop, so the subject is anchored by text, and the rally speech is depicted; the city and date are side details beyond what the image can show. This follows the symmetric-admissibility rule for claims with a readable anchor."
pilot_seed42,30,157,107127,107127,semantics_clip_text_image,pristine,Former Pocomoke City police chief Kelvin Sewell has been indicted for misconduct six months after filing a federal racial discrimination lawsuit,neutral,n/a,high,"This is a portrait of an unnamed man in a polo shirt. The indictment claim cannot be verified from the image, and the person's identity is taken as claimed (identity is not second-guessed at this stage)."
pilot_seed42,31,109,1572832,1572832,scene_resnet_place,pristine,Iraqis have been fleeing the Syrian capital Damascus Some say they were threatened others advised to get out,neutral,n/a,medium,"The image shows a hand against a cracked bus window with curtains; it is evocative of flight, but nothing identifies Damascus or Iraqis."
pilot_seed42,32,155,214752,214752,semantics_clip_text_image,pristine,Aug 15 Twins pinchhitter Chris Hermann singled in pinchrunner Doug Bernier in the bottom of the ninth against the White Sox to close a 43 win,neutral,n/a,medium,"Twins players (Mauer's number 7 is visible) mob a teammate in a walk-off celebration, matching the described win, but the specifics cannot be checked. On the stricter review pass, this specific dated game cannot be pinned down; it is a generic walk-off celebration."
pilot_seed42,33,44,631398,1686147,person_sbert_text_text,falsified,Geoffrey Howe and Margaret Thatcher at the European Union summit meeting in Copenhagen December 1987,neutral,external_knowledge,medium,"The image shows an elderly male politician beside Thatcher. Distinguishing Howe from Mitterrand needs face knowledge, and the named summit and date cannot be pinned down; since fine-grained knowledge is not a visible conflict, the relation label is neutral. Channel: the person is swapped from Howe to Mitterrand (the original is from 1985); both are plausible suited politicians, so face knowledge is needed."
pilot_seed42,34,191,262459,262459,person_sbert_text_text,pristine,Senator Marco Rubio leaves after he addressed the Free State Foundation luncheon last month,neutral,n/a,medium,"Rubio smiles and waves as he leaves a function room with a US flag, consistent with the claim. On the stricter review pass, the named luncheon event is unverifiable; this is a generic waving exit."
pilot_seed42,35,57,431818,250037,semantics_clip_text_image,falsified,Connecticut Huskies guardforward Niels Giffey dunks the ball against the Florida Gators,contradiction,visible_conflict,high,"The scoreboard reads VILLANOVA 40, NORTH CAROLINA 44; the teams are visibly not UConn versus Florida, and the player in navy is Villanova. Channel: the readable VILLANOVA/NORTH CAROLINA scoreboard conflicts with the UConn-Florida claim (the original shows Josh Hart)."
pilot_seed42,36,22,1525117,1139224,semantics_clip_text_image,falsified,Luciano Pavarotti was one of the world s most famous tenors and he performed in the UK for the first time in Belfast in May 1963,neutral,external_knowledge,medium,"The black-and-white photo shows a five-person folk group with a banjo. Ruling out Pavarotti requires knowing his appearance, which is not admissible grounds for a contradiction, and the biographical claim cannot be checked. Channel: the pictured group is the Ian Campbell Folk Group (per the original caption), and detecting the swap needs knowledge of the people and genre."
pilot_seed42,37,4,96613,287979,semantics_clip_text_text,falsified,Wilder and Peter Boyle in Young Frankenstein,neutral,external_knowledge,medium,"The image shows two men in a period barber-chair scene. Identifying the film requires film knowledge and there is no coarse visible conflict; since fine-grained knowledge is not a visible conflict, the relation label is neutral. Channel: the film has been swapped (the original is Sweeney Todd, with Depp and Rickman), which needs film knowledge to detect."
pilot_seed42,38,167,1656013,1656013,semantics_clip_text_image,pristine,Brace had been part of the 10strong Wales boxing squad due to compete in the 51kg category,entailment,n/a,medium,"A female boxer wears a glove with the Welsh dragon flag, which supports the Wales boxing squad context."
pilot_seed42,39,145,311066,311066,person_sbert_text_text,pristine,Pope Francis urges the Philippine government to end corruption as activists rally to draw attention to poverty in their country Yiming Woo reports Video provided by Reuters,neutral,n/a,medium,Pope Francis is shown at a mass altar. The anti-corruption appeal itself is not visible content.
pilot_seed42,40,118,52800,52800,semantics_clip_text_text,pristine,Hillary Clinton speaks in Warren Mich on Aug 22,neutral,n/a,high,"The image shows Hillary Clinton speaking at a microphone and gesturing; the place and date cannot be verified from the image alone, and the named city and date (Warren, Michigan) cannot be confirmed from this generic podium scene."
pilot_seed42,41,43,213589,189750,person_sbert_text_text,falsified,President Obama announces that he will begin normalizing relations with Cuba during an address to the nation in the Cabinet Room of the White House on Dec 17 2014,neutral,event_provenance,medium,"The image is a somber close-up of Obama in a briefing-room setting; the specific Cuba announcement cannot be verified from the image. Channel: same speaker, different address (the original is his Charleston shooting remarks, not the Cuba announcement)."
pilot_seed42,42,67,82285,166824,semantics_clip_text_image,falsified,Damir Tulemaganbetov left with his friend Mohammed Islam right in the office of public relations firm 5WPR,contradiction,visible_conflict,high,"The image shows a single bearded man (who appears to be Ramzan Kadyrov) at an ornate desk, while the claim describes two people, left and right, in a PR office. Channel: a single man at an ornate desk visibly conflicts with two friends in a PR office (the original is Kadyrov in Grozny)."
pilot_seed42,43,41,1270371,1166953,scene_resnet_place,falsified,Bristol City s Ashton Gate has not hosted topflight football since 197980,neutral,external_knowledge,medium,"The image shows a night match at a stadium with police in the foreground; the claim that no top-flight football has been hosted since 1980 is historical and not visible. Channel: the photo is from an unrelated story (the original is about the Premier League on Chinese TV), and spotting the wrong stadium needs knowledge of Ashton Gate."
pilot_seed42,44,110,220223,220223,semantics_clip_text_text,pristine,Egyptian women shout slogans against ousted President Mohammed Morsi outside the presidential palace on Wednesday in Cairo,entailment,n/a,medium,"An Egyptian flag anchors the subject, and shouting slogans is depicted; the target of the slogans and the palace location are side details that no image could show. This follows the symmetric-admissibility rule for claims with a readable anchor."
pilot_seed42,45,141,59554,59554,semantics_clip_text_image,pristine,People gather in front of the cafe La Bonne Biere in central Paris,neutral,n/a,medium,"A crowd, TV crews, cordon tape, and flowers fill a Paris street corner, consistent with a gathering at the cafe, but the cafe's name is not legible. On the stricter review pass, the named cafe cannot be read; this is a generic Paris street gathering."
pilot_seed42,46,94,499071,163889,person_sbert_text_text,falsified,US senators Amy Klobuchar and Claire McCaskill talk after a news conference at a hotel in Havana,neutral,event_provenance,medium,"A blonde senator greets a Black woman with an earpiece. Ruling out Klobuchar needs knowledge of her appearance, which is not coarse or iconic, and the named Havana press conference cannot be pinned down; that is not a visible conflict, so the relation label is neutral. Channel: McCaskill is at a different event (originally a Kansas City campaign event, not the Havana press conference); the companion is not Klobuchar."
pilot_seed42,47,40,247952,353711,semantics_clip_text_text,falsified,Democratic presidential candidate Sen Bernie Sanders IVt speaks during a campaign rally at Chicago State University in Chicago,contradiction,visible_conflict,high,"The speaker stands at a podium marked TRUMP / Phoenix, Arizona and is visibly Donald Trump, not Bernie Sanders in Chicago. Channel: the readable TRUMP/Phoenix podium conflicts with the Sanders-in-Chicago claim (the original is a Trump Phoenix rally)."
pilot_seed42,48,175,118082,118082,semantics_clip_text_text,pristine,Nina Dunham loved the design vibe and the lifestyle of River Park Her apartment is 730 square feet,neutral,n/a,medium,This is a studio-style portrait of a woman wearing a jade pendant. The apartment and its size are not shown.
pilot_seed42,49,60,810581,219258,scene_resnet_place,falsified,Volume vote Amazon s US Election Heat Map,contradiction,visible_conflict,medium,"The image is a Google-branded map of California with an outage-style heat blob, visibly not an Amazon US election heat map. Channel: a Google-branded outage map (the original is Wave Broadband on Downdetector) is visibly not an Amazon election map."
pilot_seed42,50,99,950546,568228,semantics_clip_text_text,falsified,Daido Moriyama from Farewell Photography,neutral,external_knowledge,low,"The image is a gritty black-and-white bed scene, a plausible art photo, but its attribution to Moriyama's Farewell Photography cannot be verified (it resembles Larry Clark's Tulsa). Channel: the artwork's attribution has been swapped (the original is by Larry Clark), which needs art-history knowledge to detect."
pilot_seed42,51,192,550512,550512,person_sbert_text_text,pristine,Roy Keane with Triggs and Ossie,entailment,n/a,low,"A black-and-white photo shows a man in marshland with two dogs, consistent with the claim of Keane with his dogs, but the face is not clearly identifiable."
pilot_seed42,52,96,65308,686814,scene_resnet_place,falsified,Miller s Market in Mineral Va was a mess after an earthquake struck central Virginia on Aug 23 2011,contradiction,visible_conflict,medium,"The image is a tidy stock-photo supermarket shelf with a shopper, which conflicts with 'was a mess after an earthquake'. Channel: a tidy supermarket aisle (the original is a Sainsbury's in Portishead) visibly conflicts with the earthquake mess claim."
pilot_seed42,53,130,620732,620732,person_sbert_text_text,pristine,Connie Hedegaard and Xie Zhenhua talk during the last day of the Doha climate talks,neutral,n/a,medium,"Two named officials talk at a conference where attendees wear lanyards. Two people in discussion is a repeatable scene that does not pin down the named occasion (compare sample 94), and nothing readable anchors the image to the Doha talks. The case was re-checked under the rule that the same evidence standards apply for and against the caption."
pilot_seed42,54,174,1584324,1584324,semantics_clip_text_image,pristine,Lloyd Webber chose to sell his wine in China,entailment,n/a,high,"A banner literally reads 'The Andrew Lloyd Webber Wine Collection' alongside Chinese text and Petrus bottles, supporting the claim of selling wine in China or Hong Kong."
pilot_seed42,55,91,529926,973631,semantics_clip_text_text,falsified,Real Madrid s Rafael van der Vaart centre celebrates scoring the winning goal against Sevilla,contradiction,visible_conflict,high,"The player is visibly Wayne Rooney in a blue Manchester United AON kit, not van der Vaart at Real Madrid. Channel: the blue AON Manchester United kit visibly conflicts with the Real Madrid claim (the original is Rooney against Sunderland)."
pilot_seed42,56,34,894166,273821,semantics_clip_text_image,falsified,Utah s Eric Maynor jumps and scores in front of Joakim Noah,contradiction,visible_conflict,high,"The scoring player's jersey reads GOLDEN STATE 30, which conflicts with the claim that he plays for Utah. This readable-text conflict overrides taking identity as claimed; recognizing Curry is not needed. Channel: the readable GOLDEN STATE 30 jersey (the original is Curry against the Bulls) conflicts with the Utah/Maynor claim."
pilot_seed42,57,140,922259,922259,semantics_clip_text_image,pristine,From J Charles Eichhorn s American Skat or The Game of Skat Defined,neutral,n/a,medium,"The image shows vintage jack playing cards, consistent with a plate from a skat book, but the attribution cannot be verified from the image alone."
pilot_seed42,58,69,1087934,244534,semantics_clip_text_text,falsified,Steven Gerrard left of Liverpool celebrates with his teammate Luis Suarez after scoring the second goal of the 40 win against Fulham,contradiction,visible_conflict,high,"The image shows two Mexico national-team players (Hernandez, number 14) embracing at the World Cup, visibly not Gerrard and Suarez at Liverpool. Channel: the readable green Mexico HERNANDEZ 14 shirt (the original is a World Cup consolation) conflicts with the Liverpool claim."
pilot_seed42,59,106,63123,63123,scene_resnet_place,pristine,Baton Rouge police rush the crowd of protesters on Saturday in Baton Rouge La,neutral,n/a,medium,"The night scene of police in tactical gear pushing toward protesters matches the claim, but the city cannot be verified from the image alone; the named city, Baton Rouge, cannot be confirmed from this generic night protest scene."
pilot_seed42,60,6,270371,478830,person_sbert_text_text,falsified,Sandy and Oscar are pals Here she is in 2014,neutral,external_knowledge,low,"The image shows Asplundh utility crews repairing storm-damaged power lines; the claim that 'Sandy and Oscar are pals / here she is' has no visible referent. Channel: the caption repurposes 'Sandy' as a pun (the original shows a hurricane Sandy debris crew), and spotting this needs outside context about who Sandy and Oscar are."
pilot_seed42,61,200,108960,108960,person_sbert_text_text,pristine,President Barack Obama in Philadelphia Penn on June 12 2012,neutral,n/a,medium,"This is a profile close-up of Obama. The person matches, but the city and date cannot be verified from the image alone. On the stricter review pass, the named city and date (Philadelphia 2012) are unverifiable; this is a generic profile close-up."
pilot_seed42,62,142,1199117,1199117,scene_resnet_place,pristine,Trekking along the Santorini Rim to Oia,entailment,n/a,high,"Hikers walk a volcanic caldera-rim trail above deep blue sea with a white village ahead, matching a Santorini-to-Oia trek."
pilot_seed42,63,164,438457,438457,person_sbert_text_text,pristine,Usher and his son Usher Raymond V on July 21 2011 in Atlanta,entailment,n/a,high,"Usher holds a smiling young boy at a press-backdrop event, matching the claim."
pilot_seed42,64,15,372552,125900,semantics_clip_text_image,falsified,Residents and volunteers walk over downed power lines along storm damaged Pennsylvania Street after a tornado hit Van Texas,neutral,event_provenance,medium,"The image shows a woman carrying a child through tornado debris with shredded trees, a strong match for a storm aftermath, but the street name cannot be checked and this generic tornado-aftermath scene cannot confirm the named town of Van, Texas. Channel: the photo is from a different tornado (the original shows Moore, Oklahoma, a woman carrying her daughter), not Van."
pilot_seed42,65,48,63585,138288,semantics_clip_text_text,falsified,Candidate Elissa Silverman greets WUSA 9 reporter Bruce Johnson while campaigning outside the Shepherd Park polling station,neutral,event_provenance,medium,"The image shows a campaigner greeting a voter outside a polling place with media present. Matching the named participants would require inferring gender from names, which is not admissible grounds for a contradiction. Channel: it is a different campaign-greeting event (the original is Cuccinelli greeting Bulova in Fairfax)."
pilot_seed42,66,62,1061697,1456692,semantics_clip_text_image,falsified,Lions wing Tommy Bowe and Australia s Joe Tomane battle in Melbourne Using Bowe and George North as kickchasers failed as a tactic,contradiction,visible_conflict,medium,"The claim describes two named players battling in a match, but the image shows one player in a posed studio-style promotional shot before a crest board, with no opponent or match action; the conflict lies in the head count and scene type, not identity recognition. Channel: a posed single-player promo (originally a Warburton portrait) visibly conflicts with the two-player match claim."
pilot_seed42,67,68,439356,154658,person_sbert_text_text,falsified,President Obama pauses as he makes a statement on the fatal police shootings of two black men in Louisiana and Minnesota after arriving in Warsaw Friday,neutral,event_provenance,medium,"Obama is making remarks at a podium with a teleprompter in a darkened hall; the statement setting matches, but the topic and venue cannot be checked, and the generic podium scene cannot confirm the named Warsaw statement. Channel: same speaker, different occasion (the original is a 2011 DNC fundraiser in Austin, not the Warsaw statement)."
pilot_seed42,68,5,72083,341212,person_sbert_text_text,falsified,Former secretary of state Hillary Clinton speaks to the media March 10 about recent allegations of an improperly used email account during her tenure at the State Department,neutral,event_provenance,medium,"Clinton is speaking from a lectern marked Columbia University, which supports 'speaks', but the email-allegations topic and date are not visible, and the Columbia University lectern means the event cannot be pinned to that press conference. Channel: same speaker, different event (the original is a Columbia University keynote, not the email-allegations press conference)."
pilot_seed42,69,156,789014,789014,semantics_clip_text_image,pristine,Gus Poyet trains hard for Sunderland s next game chuckles Ged Parker,entailment,n/a,medium,"Poyet, in Sunderland training kit, playfully juggles drink bottles, which is consistent with the tongue-in-cheek training claim."
pilot_seed42,70,193,89840,89840,person_sbert_text_text,pristine,Donald Trump during Wednesday night s debate in Las Vegas,neutral,n/a,high,"Trump gestures at a debate-style podium against a dark backdrop, consistent with a debate night. On the stricter review pass, the named debate and city are unverifiable; this is a generic dark podium scene."
pilot_seed42,71,180,182024,182024,scene_resnet_place,pristine,A refugee with a child waits for Slovenian police to escort the group to a registration center in Dobova,neutral,n/a,medium,"A woman sits on asphalt cradling a child amid a waiting crowd with packs, matching a refugee-waiting scene, but Dobova cannot be verified. On the stricter review pass, the named place (Dobova) is unverifiable; this is a generic refugee-waiting scene."
pilot_seed42,72,35,242437,98519,person_sbert_text_text,falsified,President Clinton greets ethnic Albanian Kosovars in the town of Urosevac in the Yugoslavia province of Kosovo on Nov 23 1999,contradiction,visible_conflict,medium,"The image shows a distant speaker at an indoor stage podium in front of a giant US flag, which conflicts with greeting Kosovar crowds in a town street. Channel: an indoor stage speech (the original is an Ohio Democratic dinner) visibly conflicts with greeting crowds in a Kosovo town."
pilot_seed42,73,65,149954,767344,person_sbert_text_text,falsified,Serena Williams competing against Daria Gavrilova of Australia at the Rio Olympics,neutral,event_provenance,medium,"The image shows Serena mid-serve; her opponent is not visible, and knowing that Olympic courts are ad-free is sports knowledge, not a visible conflict; since fine-grained knowledge is not a visible conflict, the relation label is neutral. Channel: it is Serena but a different match (the original is against Suarez Navarro); the commercial boards are also atypical of the Olympics."
pilot_seed42,74,31,557674,102980,person_sbert_text_text,falsified,Vladimir Putin speaks after a summit with European Union leaders He said Moscow had not yet delivered advanced S300 air defence systems to Damascus,neutral,event_provenance,medium,"Putin is seated at an official summit-style table, which supports the summit context, but the quoted S-300 remark cannot be checked, and the generic official meeting table cannot confirm the named EU summit. Channel: same person, different meeting (the original shows local officials in Voronezh, not an EU summit)."
pilot_seed42,75,64,1565747,859403,scene_resnet_place,falsified,Japanese banks are trying to gain market share abroad from troubled European banks,neutral,external_knowledge,medium,"The image shows an RBS sign with performers in bowler hats; nothing about Japanese banks is visible, and there is no direct conflict. Channel: the photo is from an unrelated story (the original is an anti-RBS protest in 2011), and it takes outside knowledge to see that an RBS protest is not a Japanese-bank story."
pilot_seed42,76,74,934927,1003866,semantics_clip_text_image,falsified,She identified with Burns deeply As she talked the night descended and the drone of insects filled the air Maya Angelou,neutral,external_knowledge,medium,"The image is a 1950s portrait of a woman in tweed. Ruling her out as Maya Angelou requires knowing what Angelou looked like, which is not admissible grounds for a contradiction, and the quote cannot be checked. Channel: the pictured woman is Katharine Whitehorn (per the original caption), and detecting the swap needs knowledge of the person's appearance."
pilot_seed42,77,138,1451746,1451746,scene_resnet_place,pristine,The World Bar overlooks the Genting Arena concert venue,entailment,n/a,high,"The view from a bar with pendant lamps looks toward a building signed GENTING ARENA, which directly supports the claim."
pilot_seed42,78,159,81510,81510,semantics_clip_text_image,pristine,Lynn Sweet Washington bureau chief for the Chicago SunTimes right and Mary Shearer,entailment,n/a,low,"Two women in evening gowns attend a White House-style event; the woman on the right, blonde with glasses, matches Lynn Sweet, though the identities are not certain."
pilot_seed42,79,88,1232148,796062,semantics_clip_text_text,falsified,Ryan Hall whose lastgasp try won the League Leaders Shield for Leeds celebrates with the trophy after their victory over Huddersfield,contradiction,visible_conflict,high,"The image shows 1980s soccer players in red lifting an FA-Cup-style trophy at Wembley, visibly not rugby league or a Leeds shield win. Channel: a vintage FA Cup soccer scene (the original is Manchester United in 1985) visibly conflicts with the rugby league shield claim."
pilot_seed42,80,136,288424,288424,semantics_clip_text_image,pristine,Floyd Mayweather Jr throws a left to the face of Robert Guerrero in their WBC welterweight title bout at the MGM Grand Garden Arena,entailment,n/a,medium,"Both named fighters are in frame, with their identities taken as claimed (identity is not second-guessed at this stage), and a left to the face is shown exactly as described, with no admissible conflict. Since the two opponents pin down the bout, photos like this all come from the same event and the venue rides along, so the relation label is entailment."
pilot_seed42,81,184,65326,65326,semantics_clip_text_text,pristine,Hillary Clinton President Trump is a dangerous proposition Campaign 2016,neutral,n/a,medium,"Trump appears in a CNN Exclusive interview frame. The Clinton quote about Trump cannot be checked from the image, though a photo of the quote's subject is a plausible pairing."
pilot_seed42,82,117,1236984,1236984,person_sbert_text_text,pristine,Andy Murray had a long conversation with the GB trainers and physios about his back problem before playing Bernard Tomic,neutral,n/a,medium,The image shows Murray reaching for a forehand on an indoor blue court in a GB kit; the conversation with the trainers about his back is not visible.
pilot_seed42,83,58,1205733,1482932,person_sbert_text_text,falsified,Labour leader Ed Miliband visits Crouch End north London on Thursday,contradiction,visible_conflict,medium,"The scene is the House of Commons chamber with the Labour front bench, which conflicts with a street visit to Crouch End. Channel: a Commons chamber scene (the original shows Miliband and Balls on the front bench) is visibly not a street visit to Crouch End."
